Carpeta,Tamaño (GB)
C:\,878.9575
C:\Users,463.8153
C:\Users\jonat,463.6837
C:\Users\jonat\AppData,223.9158
C:\Program Files,194.9425
C:\Users\jonat\AppData\Roaming,170.8644
C:\Users\jonat\AppData\Roaming\Microsoft Flight Simulator,166.5324
C:\Users\jonat\AppData\Roaming\Microsoft Flight Simulator\Packages\Official\Steam,158.5211
C:\Users\jonat\AppData\Roaming\Microsoft Flight Simulator\Packages\Official,158.5211
C:\Users\jonat\AppData\Roaming\Microsoft Flight Simulator\Packages,158.5211
C:\Program Files\Epic Games,151.3675
C:\Users\jonat\Documents,104.2866
C:\Users\jonat\Documents\Dev,94.5329
C:\Program Files\Epic Games\Fortnite,94.0008
C:\Program Files (x86),80.3663
C:\Users\jonat\AppData\Roaming\Microsoft Flight Simulator\Packages\Official\Steam\fs-base-cgl,59.7717
C:\Users\jonat\AppData\Roaming\Microsoft Flight Simulator\Packages\Official\Steam\fs-base-cgl\CGL,59.7699
C:\Program Files\Epic Games\UE_5.1,57.3668
C:\Users\jonat\Downloads,56.1262
C:\Riot Games,54.9706
C:\Riot Games\VALORANT\live,54.4006
C:\Riot Games\VALORANT,54.4006
C:\Riot Games\VALORANT\live\ShooterGame,54.0963
C:\Riot Games\VALORANT\live\ShooterGame\Content,53.8084
C:\Riot Games\VALORANT\live\ShooterGame\Content\Paks,53.7184
C:\Program Files\Epic Games\UE_5.1\Engine,53.4559
C:\Users\jonat\Documents\Dev\ISO,52.4489
C:\Users\jonat\AppData\Local,48.9195
C:\Program Files\Epic Games\Fortnite\.egstore,48.3540
C:\Program Files\Epic Games\Fortnite\.egstore\bps,48.3386
C:\Program Files\Epic Games\Fortnite\.egstore\bps\f,48.3340
C:\Program Files\Epic Games\Fortnite\FortniteGame,45.5617
C:\Program Files\Epic Games\Fortnite\FortniteGame\Content,45.5471
C:\Program Files\Epic Games\Fortnite\FortniteGame\Content\Paks,45.5471
C:\Program Files (x86)\Steam,44.3519
C:\Program Files (x86)\Steam\steamapps,43.1492
C:\Windows,42.8459
C:\Program Files (x86)\Steam\steamapps\common,41.7957
C:\Program Files (x86)\Steam\steamapps\common\Rust,40.5358
C:\Users\jonat\Documents\Dev\ISO\img ISO JetsoNano,37.8347
C:\Users\jonat\Documents\Dev\system image yahboo,37.8347
C:\Program Files (x86)\Steam\steamapps\common\Rust\Bundles,35.6436
C:\Users\jonat\OneDrive,28.1184
C:\Users\jonat\VirtualBox VMs,27.6427
C:\Program Files (x86)\Steam\steamapps\common\Rust\Bundles\shared,26.9398
C:\Program Files (x86)\StarCraft II,26.6141
C:\Program Files (x86)\StarCraft II\SC2Data,26.1480
C:\Program Files (x86)\StarCraft II\SC2Data\data,26.0171
C:\Program Files\Epic Games\UE_5.1\Engine\Plugins,22.3408
